sondern	а
stark	сильный
das Symbol, -e	символ
sympathisch	симпатичный
blau	синий
das System, -e	система
die City, -s	сити
die Situation, -en	ситуация
das Märchen, -	сказка
die Bank, ¨-e	скамейка
der Rabatt, -e	скидка
das Magazin, -e	склад
die Pfanne, -n (CH) → D, A: Topf	сковорода
wie viel(e)	сколько
der Krankenwagen, -	скорая помощь автомобиль
bald	скоро
die Autobahn, -en	скоростная магистраль
die Geschwindigkeitsbeschränkung, -en	скоростной режим
die Geschwindigkeit, -en	скорость
die Kreuzung, -en	скрещение
die Langeweile	скука
das Plastik	скульптура
sich langweilen	скучать
langweilig	скучный
schwach	слабый
süß	сладкий
die Folie, -n	слайд
links	слева
tippen, tippt, tippte, hat getippt	слегка коснуться пальцами
die Spur, -en	след
also	следовательно
folgen, folgt, folgte, ist gefolgt	следовать
die Folge, -n	следствие
folgend	следующий
die Träne, -n	слеза
blind	слепой
die Pflaume, -n	слива
das Wörterbuch, ¨-er	словарь
das Wort, ¨-er	слово
das Wort, -e	слово
kompliziert	сложный
der Elefant, -en	слон
der Angestellte, -n die Angestellte, -n	служащий
der Serviceangestellte, -n / die Serviceangestellte, -n (CH) → Kellner; D, A: Ober	служащий
der Dienst	служба
dienen, dient, diente, hat gedient	служить
die Gelegenheit, -en	случай
der Zufall, ¨-e	случай
zufällig	случайный
geschehen, geschieht, geschah, ist geschehen	случаться
passieren, passiert, passierte, ist passiert	случаться
der Hörer, -; die Hörerin, -nen der Zuhörer	слушатель
der Zuhörer, - die Zuhörerin, -nen	слушатель
zuhören, hört zu, hörte zu, hat zugehört	слушать
hören, hört, hörte, hat gehört	слышать
1 cm = ein Zentimeter	см
das Smartphone, -s	смартфон
tödlich	смертельный
der Tod	смерть
lachen, lacht, lachte, hat gelacht	смеяться
das Pech	смола
ansehen, sieht an, sah an, hat angesehen	смотреть
sehen, sieht, sah, hat gesehen	смотреть
zuschauen, schaut zu, schaute zu, hat zugeschaut	смотреть
nachschlagen, schlägt nach, schlug nach, hat nachgeschlagen	смотреть информацию гделибо
fernsehen, sieht fern, sah fern, hat ferngesehen	смотреть телевизор [телепередачу]
je nachdem…	смотря по
Textnachricht	смс
außen	снаружи
draußen	снаружи
anfangs	сначала
erst	сначала
zuerst	сначала
zunächst	сначала
der Schnee	снег
der Imbiss, -e (D) → A: Jause, CH: Znüni/Zvieri	снек
die Ermäßigung, -en	снижение
abhängen, hängt ab, hing ab, hat abgehangen (von)	снимать
abheben, hebt ab, hob ab, hat abgehoben	снимать
mieten, mietet, mietete, hat gemietet	снимать
der Hund, -e	собака
das Vorstellungsgespräch, -e	собеседование
sammeln, sammelt, sammelte, hat gesammelt	собирать
die Versammlung, -en	собрание
eigen-	собственный
das Ereignis, -se	событие
das Gewissen	совесть
der Rat	совет
Ratschlag, ¨-e	совет
beraten, berät, beriet, hat beraten	советовать
die Zusammenarbeit	совместная работа
modern	современный
die Zustimmung, -en	согласие
einverstanden	соглашаться
zustimmen, stimmt zu, stimmte zu, hat zugestimmt	соглашаться
das Gehalt, ¨-er	содержание
der Inhalt, -e	содержание
die Unterhaltung, -en	содержание
enthalten, enthält, enthielt, hat enthalten	содержать
zusammenfassen, fasst zusammen, fasste zusammen, hat zusammengefasst	соединять
schaffen, schafft, schaffte, hat geschafft	создавать
der Saft, ¨-e	сок
reduzieren, reduziert, reduzierte, hat reduziert	сокращать
sonnig	солнечный
die Sonne, -n	солнце
das Salz, -e	соль
zweifeln, zweifelt, zweifelte, hat gezweifelt	сомневаться
der Zweifel, -	сомнение
der Schlaf	сон
der Traum, ¨-e	сон
anmelden, meldet an, meldete an, hat angemeldet	сообщать
berichten, berichtet, berichtete, hat berichtet	сообщать
melden, meldet, meldete, hat gemeldet	сообщать
mitteilen, teilt mit, teilte mit, hat mitgeteilt	сообщать
die Anzeige, -n	сообщение
die Anmeldung, -en	сообщение
die Angabe,-n	сообщение
die Anzeige, -n	сообщение
Bescheid sagen	сообщить комул
nach Gebühr	соответствующим образом
das Verhältnis, -se	соотношение
der Nachbar, -n die Nachbarin, nen	сосед
sich konzentrieren	сосредотачиваться
der Zustand, ¨-e	состояние
stattfinden, findet statt, fand statt, hat stattgefunden	состояться
der Mitarbeiter, - die Mitarbeiterin, -nen	сотрудник
die Soße/Sauce, -n	соус
sozial	социальный
der Sozialarbeiter, - die Sozialarbeiterin, -nen	социальный работник
der Bund, Bundes	союз
der Verein, -e	союз
retten, rettet, rettete, hat gerettet	спасать
danke	спасибо
schlafen, schläft, schlief, hat geschlafen	спать
der Fachmann die Fachfrau, -en	специалист
der Spezialist, -en die Spezialistin, -nen	специалист
die Fachleute (Pl.)	специалисты
die Sonderschule, -n	специальная школа
die (Fach-)Hochschule, -n	специальное высшее учебное заведение
Sonder- das Sonderangebot, -e	специальное предложение
Spezial-	специальный
eilen, eilt, eilte, hat/ist geeilt	спешить
der Rücken, -	спина
der Alkohol, -s, -e	спирт
die Liste, -n	список
das Streichholz, ¨-er → Zündholz; A: Zünder	спичка
die Zünder (A) (Pl.) → Streichholz; Zündholz	спички
einig	сплоченый
cool	спокойный
ruhig	спокойный
die Ruhe	спокойствие
der Streit	спор
(sich) streiten, streitet, stritt, hat gestritten	спорить
die Sport, -(e)s, -e	спорт
der Sport	спорт
sportlich	спортивный
der Sportler, - die Sportlerin, -nen	спортсмен
der Profisportler, - die Profisportlerin, -nen	спортсменпрофессионал
die Art, -en	способ
die Fähigkeit, -en	способность
fördern, fördert, förderte, hat gefördert	способствовать
rechts	справа
gerecht	справедливый
der Bescheid, -e	справка
sich erkundigen, erkundigt sich, erkundigte sich, hat sich erkundigt	справляться
zurechtkommen, kommt zurecht, kam zurecht, ist zurechtgekommen	справляться самостоятельно
fragen, fragt, fragte, hat gefragt (nach D, wegen G, um A)	спрашивать о комлибо
vgl.	ср сравни
der Vergleich, -e	сравнение
vergleichen, vergleicht, verglich, hat verglichen	сравнивать
kämpfen, kämpft, kämpfte, hat gekämpft	сражаться
der Mittwoch, -(e)s, -e, mittwochs, am Mittwoch	среда
die Umwelt	среда обитания
durchschnittlich	средний
die Medien (Pl.)	средства массовой информации
das Mittel, -	средство
die Frist, -en	срок
der Termin, -e	срок
dringend	срочный
einstellen, stellt ein, stellte ein, hat eingestellt	ставить
stellen, stellt, stellte, hat gestellt	ставить
(sich) vorstellen, stellt vor, stellte vor, hat vorgestellt	ставить вперед
parken, parkt, parkte, hat geparkt (D, A) → CH: parkieren	ставить на стоянку
das Stadion, Stadien	стадион
werden, wird, wurde, ist geworden	становиться
pensioniert werden/sein (D, CH) → D, A: in Pension gehen/sein; D: in Rente gehen/sein	становиться пенсионером
die Station, -en	станция
sich bemühen, bemüht, bemühte, hat bemüht	стараться
der Start, -s	старт
starten, startet, startete, ist gestartet	стартовать
die Senioren (Pl.)	старший
alt	старый
die Statistik, -en	статистика
statistisch	статистический
der Artikel, -	статья
das Steak, -s	стейк
die Mauer, -n	стена
die Wand, ¨-e	стена
stilistisch	стилистический
der Stil, -e	стиль
(sich) waschen, wäscht, wusch, hat gewaschen	стирать
das Gedicht, -e	стихотворение
der Wert, -e	стоимость
gelten, gilt, galt, hat gegolten	стоить
kosten, kostet, kostete, hat gekostet	стоить
die Mobilbox, -en	стойло
der Tisch, -e	стол
die Hauptstadt, ¨-e	столица
die Kantine, -n	столовая
soviel	столько
die Seite, -n	сторона
der Himmelsrichtungen	стороны света
stehen, steht, stand, hat/ist gestanden	стоять
leiden, leidet, litt, hat gelitten	страдать
seltsam	странный
die Sucht, ¨-e	страсть
die Angst, “-e	страх
der Schreck(en)	страх
die e-card (A) → D: die Versichertenkarte	страховая карта
furchtbar	страшный
schrecklich	страшный
unheimlich	страшный
schießen, schießt, schoss, hat geschossen	стрелять
der Stress	стресс
streng	строгий
die Baustelle, -n	строительная площадка
der Bau, Bauten	строительство
bauen, baut, baute, hat gebaut	строить
erstellen, erstellt, erstellte, hat erstellt	строить
schlank	стройный
die Zeile, -n	строка
die Struktur, -en E	структура
der Textaufbau	структура
der Student, -en die Studentin, -nen	студент
der Studierende, -n die Studierende, -n	студент
die Mensa, -s/-en	студенческая столовая
der Sessel, - (A) → D, CH: Stuhl	стул
der Stuhl, ¨-e	стул
auftreten, tritt auf, trat auf, ist aufgetreten	ступать
die Stufe, -n	ступень
der Steward, -s die Stewardess, -en	стюард
der Samstag; D: der Sonnabend samstags; D: sonnabends, am Samstag	суббота
das Souvenir, -s	сувенир
das Gericht, -e	суд
der Richter, - die Richterin, -nen	судья
der Betrag, ¨-e	сумма
die Summe, -n	сумма
der Laden, ¨-	сундук
die Suppe, -n	суп
der Supermarkt, ¨-e	супермаркет
die Ehefrau, -en/der Ehemann, ¨-er	супруг
das Ehepaar, -e	супруги
trocken	сухой
trocknen, trocknet, trocknete, hat/ist getrocknet	сушить
bestehen, besteht, bestand, hat bestanden	существовать
die Bühne, -n	сцена
die Szene, -n	сцена
glücklich	счастливый
das Glück	счастье
das Konto, Konten	счет
zählen, zählt, zählte, hat gezählt	считать
(herunter-)fahren, fährt herunter, fuhr herunter, hat heruntergefahren	съезжать
der Mieter, - die Mieterin, -nen	съемщик
der Sohn, ¨-e	сын
der Käse	сыр
feucht	сырой
roh	сырой
satt	сытый
das/der Sandwich, -(e)s/-e	сэндвич
her/her	сюда
herein-, rein	сюда
hierher	сюда
das Zeugnis, -se	табель
die Tablette, -n	таблетка
die Tabelle, -n	таблица
das Geheimnis, -se	тайна
geheim	тайный
heimlich	тайный
so	так
ebenso	так же
denn	так как
so viel/so viel wie	так много
sogenannt	так называемый
sodass	так что
ebenfalls	также
mit	также
solch	такой
das Taxi, -s	такси
das Talent, -e	талант
dort	там
drüben	там
drin, drinnen	там внутри
der Tanz, ¨-e	танец
tanzen, tanzt, tanzte, hat getanzt	танцевать
der Teller, -	тарелка
fest	твердый
hart	твердый
das Theater, -	театр
der Text, -e	текст
das Fernsehen	телевидение
das TV, -	телевизор
Fernsehgerät <-(e)s, -e>	телевизор
der Fernseher, -	телезритель
körperlich	телесный
das Telefon, -e	телефон
der Körper, -	тело
indem	тем что
das Thema, Themen	тема
dunkel	темный
dunkel	темный
das Tempo	темп
die Temperatur, -en	температура
das Tennis	теннис
theoretisch	теоретический
die Theorie, -n	теория
jetzt	теперь
nun	теперь
die Wärme	тепло
warm	теплый
die Therapie, -n	терапия
die Geduld	терпение
sich etwas gefallen lassen, lässt sich etwas gefallen, ließ sich etwas gefallen, hat sich etwas gefallen lassen sich (D) etw. (A)	терпеть чтол
tolerant	терпимый
die Terrasse, -n	терраса
eng	тесный
knapp	тесный
der Test, -s	тест
das Heft, -e	тетрадь
die Tante, -n	тетя
die Technik, -en	техника
technisch	технический
die Technologie, -n	технология
fließen, fließt, floss, ist geflossen	течь
der Typ, -en	тип
typisch	типичный
leise	тихий
still	тихий
der Stoff, -e	ткань
die Ware, -n	товар
damals	тогда
dann	тогда
auch	тоже
gleichfalls	тоже
schieben, schiebt, schob, hat geschoben	толкать
(sich) stoßen, stößt, stieß, hat gestoßen	толкать
dick	толстый
ausschließlich	только
irgend irgendein	только
nur	только
vorhin	только что
der Paradeiser, - (A) → Tomate	томат
die Tomate, -n → A: Paradeiser	томат
dünn	тонкий
heizen, heizt, heizte, hat geheizt	топить
der Handel	торговля
bremsen, bremst, bremste, hat gebremst	тормозить
sich beeilen, beeilt sich, beeilte sich, hat sich beeilt	торопиться
die Torte, -n	торт
das Heimweh	тоска по родине
derselbe, dieselbe, dasselbe	тот же
total	тотальный
der Punkt, -e	точка
der Punkt, -e	точка
genauso	точно такой же
genau	точный
das Gras	трава
die Verletzung, -en	травма
traditionell	традиционный
die Tradition, -en	традиция
der Wirt, -e die Wirtin, -nen	трактирщик
die Straßenbahn, -en	трамвай
die Straßenbahn, -en (D, A) → CH: Tram	трамвай
das Tram, -s → D, A: Straßenbahn	трамвай
das Verkehrsmittel, -	транспорт
der Transport, -e	транспортирование
transportieren, transportiert, transportierte, hat transportiert	транспортировать
das Fahrzeug, -e	транспортное средство
das Kraftfahrzeug, -e	транспортное средство
die Forderung, -en (auf А, nach D)	требование чеголибо
erfordern, erfordert, erforderte, hat erfordert	требовать
fordern, fordert, forderte, hat gefordert	требовать
verlangen, verlangt, verlangte, hat verlangt	требовать
erforderlich	требуемый
der Trend, -s	тренд
der Trainer, - die Trainerin, -nen	тренер
trainieren, trainiert, trainierte, hat trainiert	тренировать
das Training, -s	тренировка
die Übung, -en	тренировка
dritte	третий
⅓ = ein Drittel, drittel ...	треть
das Pfingsten	Троица
der Gehsteig (D, A) → CH: Trottoir	тротуар
das Trottoir, -s (CH) → Gehsteig (D, A)	тротуар
die Schwierigkeit, -en	трудность
schwierig	трудный
schütteln, schüttelt, schüttelte, hat geschüttelt	трясти
das WC, -s	туалет
die Toilette, -n	туалет
dahin	туда
dorthin	туда
der Nebel, -	туман
neblig	туманный
die Tour, -en	тур
das Reisebüro, -s	турагентство
der Tourismus	туризм
der Tourist, -en die Touristin, -nen	турист
die Rundfahrt, -en	турне
die Türkei der Türke, -n die Türkin, -nen türkisch Türkisch	Турция турок
hier/hier-	тут
das Jahrtausend, -e	тысячелетие
das Gefängnis, -se	тюрьма
schwer	тяжелый
an	у
bei	у
fliehen, flieht, floh, ist geflohen	убегать
(sich) überzeugen, überzeugt, überzeugte, hat überzeugt	убеждать
die Überzeugung, -en	убеждение
das Asyl	убежище
der Killer, -/die Killerin, -nen	убийца
aufräumen, räumt auf, räumte auf, hat aufgeräumt	убирать
der Nachteil, -e	убыток
achten, achtet, achtete, hat geachtet (auf)	уважать
geehrt	уважать
Achtung!	уважение
der Respekt	уважение
vergrößern, vergrößert, vergrößerte, hat vergrößert	увеличивать
zunehmen, nimmt zu, nahm zu, hat zugenommen	увеличиваться
die Versicherung, -en	уверение
versichern, versichert, versicherte, hat versichert	уверять
spannend	увлекательный
überreden, überredet, überredete, hat überredet	уговорить
die Ecke, -n (D, CH) → A: Eck	угол
das Eck, -en (A) → D, CH: Ecke	угол
strafbar	уголовно наказуемый
Kriminal die Kriminalpolizei	уголовный уголовный розыск
gelingen, gelingt, gelang, ist gelungen	удаваться
entfernen, entfernt, entfernte, hat entfernt	удалять
abnehmen, nimmt ab, nahm ab, hat abgenommen	удалять снимать
festhalten, hält fest, hielt fest, hat festgehalten	удерживать
überraschen, überrascht, überraschte, hat überrascht	удивлять
sich wundern, wundert sich, wunderte sich, hat sich gewundert	удивлять удивляться
verlängern, verlängert, verlängerte, hat verlängert	удлинять
bequem	удобный
befriedigend	удовлетворительный
der Spaß	удовольствие
das Vergnügen, -	удовольствие
der Ausweis, -e	удостоверение личности
verreisen, verreist, verreiste, ist verreist	уезжать
halt	уж
bereits	уже
schon	уже
schmal	узкий
erfahren, erfährt, erfuhr, hat erfahren	узнавать
die Anweisungssprache, -en	указание
die Gebrauchsanweisung, -en	указание
der Hinweise, -e	указание
hinweisen, weist hin, wies hin, hat hingewiesen (auf A)	указывать
einpacken, packt ein, packte ein, hat eingepackt	укладывать
packen, packt, packte, hat gepackt	укладывать
die Ukraine der Ukrainer - die Ukrainerin, -nen ukrainisch Ukrainisch	Украина украинец
der Schmuck	украшение
der Essig	уксус
die Straße, -n	улица
die Einbahnstraße, -n	улица с односторонним движением
(sich) verbessern, verbessert, verbesserte, hat verbessert	улучшать
die Besserung	улучшение
lächeln, lächelt, lächelte, hat gelächelt	улыбаться
die Intelligenz	ум
sterben, stirbt, starb, ist gestorben	умирать
intelligent	умный
klug	умный
die Universität (Uni), -en	университет
die Universität, -en	университет
die Uniform, -en	униформа
verpacken, verpackt, verpackte, hat verpackt	упаковывать
zuordnen	упорядочить
die Verwaltung, -en	управление
üben	упражняться
der Vorwurf, ¨-e	упрек
versäumen, versäumt, versäumte, hat versäumt	упустить
die Ernte, -n	урожай
die Mühe	усилие
der Intensivkurs, -e	ускоренный курс
die Bedingung, -en	условие
verabredet	условный знак
der Erfolg, -e	успех
der Fortschritt, -e	успех
erfolgreich	успешный
beruhigen, beruhigt, beruhigte, hat beruhigt	успокаивать
müde	усталый
festlegen, legt fest, legte fest, hat festgelegt	устанавливать
feststellen, stellt fest, stellte fest, hat festgestellt	устанавливать
installieren, installiert, installierte, hat installiert	устанавливать
die Anlage, -n	установка
mündlich	устный
(sich) verabschieden, verabschiedet, verabschiedete, hat verabschiedet	устраивать проводы
die Einrichtung, -en	устройство
behaupten, behauptet, behauptete, hat behauptet	утверждать
entsorgen, entsorgt, entsorgte, hat entsorgt	утилизировать
die Ente, -n	утка
anstrengend	утомительный
der Morgen, -	утро
morgens, am Morgen	утром
pflegen, pflegt, pflegte, hat gepflegt	ухаживать
das Ohr, -en	ухо
die Betreuung	уход
in Pension gehen/sein (D, A) → D: in Rente gehen/ sein; D, CH: pensioniert werden/sein	уходить на пенсию
verlassen, verlässt, verließ, hat verlassen	уходить уезжать
sich beteiligen, beteiligt sich, beteiligte sich, hat sich beteiligt	участвовать
teilnehmen, nimmt teil, nahm teil, hat teilgenommen	участвовать
die Teilnahme, -n	участие
der Teilnehmer, - die Teilnehmerin, -nen	участник
das Studium, Studien	учеба
die Bildungseinrichtung, -en	учебное заведение
der Azubi, -s (D)	ученик
der Lehrling, -e	ученик
der Lerner, - die Lernerin, -nen	ученик
der Schüler, - die Schülerin, -nen	ученик
der Wissenschaftler, - die Wissenschaftlerin, -nen	ученый
der Lehrer, - die Lehrerin, -nen	учитель
lernen, lernt, lernte, hat gelernt	учиться
gemütlich	уютный
die Fabrik, -en	фабрика
die Datei, -en	файл
das Fax, -e	факс
die Tatsache, -n	факт
tatsächlich	фактический
der Faktor, -en	фактор
falsch	фальшивый
der Familienname, -n	фамилия
die Fantasie/Phantasie, -n	фантазия
die Phantasie/Fantasie, -n	фантазия
fantastisch	фантастический
der Februar	февраль
das Bundesland, -(e)s	федеральная земля
der Bundeskanzler, - die Bundeskanzlerin, -nen	федеральный канцлер в ФРГ
der Bundespräsident, - die Bundespräsidentin, -nen	федеральный президент
die Bundesrepublik Deutschland	Федеративная Республика Германия
das Festival, -s	фестиваль
die Figur, -en	фигура
die Physik	физика
die Philosophie, -ien	философия
finanzieren, finanziert, finanzierte, hat finanziert	финансировать
finanziell	финансовый
violett	фиолетовый
die Firma, Firmen	фирма
die Flöte, -n	флейта
die Diskothek, -en/Disko, -s	фонотека
die Form, -en	форма
das Formular, -e	формуляр
das Forum, Foren (Internetforum)	форум
der Fotoapparat, -e	фотоаппарат
der Fotograf, -en	фотограф
fotografieren, fotografiert, fotografierte, hat fotografiert	фотографировать
das Foto, -s	фотография
die Fotografie, -n	фотография
1 sFr. = 1 Franken, -	франк
das Obst (D, A) → CH: Früchte	фрукты
funktionieren, funktioniert, funktionierte, hat funktioniert	функционировать
der Fußball, ¨-e	футбол
das T-Shirt, -s	футболка
loben, lobt, lobte, hat gelobt	хвалить
fassen, fasst, fasste, hat gefasst	хватать
genügen, genügt, genügte, hat genügt	хватать
greifen, greift, griff, hat gegriffen (nach D, an A)	хватать
die Hütte, -n	хижина
die Chemie	химия
der Hit, -s	хит
das Brot, -e	хлеб
klopfen, klopft, klopfte, hat geklopft	хлопать
das Hobby, -s	хобби
umgehen, geht um, ging um, ist umgegangen	ходить
spazieren gehen, geht spazieren, ging spazieren, ist spazieren gegangen	ходить гулять
der Kühlschrank, ¨-e	холодильник
kalt	холодный
ledig	холостой
die Fitness, -	хорошая физическая [спортивная] форма
o.k./O.K./okay	хорошо
gut	хорошо
wohl	хорошо
fit	хорошо тренированный
die Jugendherberge, -n	хостел
wollen, will, wollte, hat gewollt (hat wollen als Modalverb)	хотеть
obwohl	хотя
speichern, speichert, speicherte, hat gespeichert	хранить на складе
der Künstler, - die Künstlerin, -nen	художник
der Maler, - die Malerin, -nen	художник
mager	худой
blühen, blüht, blühte, hat geblüht	цвести
die Farbe, -n	цвет
die Farbe, -n	цвет
die Blume, -n	цветок
küssen, küsst, küsste, hat geküsst sich küssen	целовать
das Ziel, -e	цель
der Zweck, -e	цель
der Preis, -e	цена
wertvoll	ценный
1 c = 1 Cent	цент
das Zentrum, Zentren	центр
zentral	центральный
der Hauptbahnhof, ¨-e	центральный вокзал
die Kette, -n	цепочка
die Kirche, -n	церковь
der Zirkus, -se	цирк
digital	цифровой
das Poulet, -s (CH) → D: Hähnchen/Hühnchen; A: Hend(e)l	цыпленокбройлер
das Trinkgeld, -er	чаевые
der Tee	чай
die Kanne, -n	чайник
die Stunde, -n stündlich	час
die Stunde, -n	час
privat	частный
oft/öfter	часто
häufig	частый
der Abschnitt, -e	часть
die Teil, -e	часть
die Uhr, -, -en	часы
die Uhr, -en	часы
der Chat(room), -s	чат
die Tasse, -n	чашка
meist-, die meisten	чаще всего
meist(ens)	чаще всего
der Mensch, -en	человек
menschlich	человеческий
je eher, desto besser	чем раньше
je … desto …	чем тем
der Koffer, -	чемодан
durch	через
die Schildkröte, -n	черепаха
schwarz	черный
ehrlich	честный
der Donnerstag, donnerstags, am Donnerstag	четверг
vierte	четвертый
das Viertel, - (D, A) → CH: Quartier	четверть
gerade	четный
reparieren, repariert, reparierte, hat repariert	чинить
die Chipkarte, -n	чипкарта
der Chip, -s	чипсы 
die Zahl, -en	число
die Anzahl, -en	число
putzen, putzt, putzte, hat geputzt	чистить
reinigen, reinigt, reinigte, hat gereinigt	чистить
staubsaugen, staubsaugt, staubsaugte, hat gestaubsaugt	чистить пылесосом
die Reinigung, -en	чистка
rein	чистый
sauber	чистый
der Leser, - die Leserin, -nen	читатель
lesen, liest, las, hat gelesen	читать
das Mitglied, -er	член семьи
dass	что
was	что
um … zu	чтобы
etwas	чтолибо
das Gefühl, -e	чувство
der Sinn	чувство
fühlen, fühlt, fühlte, hat gefühlt	чувствовать
spüren, spürt, spürte, hat gespürt	чувствовать
wunderbar	чудесный
das Wunder, -	чудо
der Strumpf, ¨-e	чулок
der Schritt, -e	шаг
die Chance, -n	шанс
der Kugelschreiber, -	шариковая ручка
der Kuli, -s	шариковая ручка кули
locker	шаткий
die Schweiz der Schweizer, - die Schweizerin, -nen Schweizer, schweizerisch	Швейцария швейцарец швейцарский язык
wollen	шерстяной
der Aufzug, ¨-e (D, A) → Lift	шествие
der Chef, -s die Chefin, -nen	шеф
der Hals, ¨-e	шея
chic/schick	шикарный
der Reifen, -	шина
die Breite, -n	ширина
breit	широкий
nähen, näht, nähte, hat genäht	шить
die Kassette, -n	шкатулка
der Schrank, ¨-e (D, CH) → A, CH: Kasten	шкаф
die Schule, -n	школа
das Schulfächer, -(e)s	школьный предмет
der Hut, ¨-e	шляпа
das Schnitzel, -	шницель обрывок
die Schokolade, -n	шоколад
die Show, -s	шоу
der Stift, -e	штифт
der Strafzettel, -	штрафная квитанция
der Lärm	шум
der Witz, -e	шутка
klicken, klickt, klickte, hat geklickt	щелкнуть
die Bürste, -n	щётка
die Zange, -n	щипцы
das Schild, -er	щит
hallo	эй! ау! алло! привет! вот это да!
das Abitur (D)→A, CH: Matura	экзамен на аттестат зрелости
Öko- (ökologisch)	экологичный
die Wirtschaft	экономика
der Bildschirm, -e	экран
der Experte, -n	эксперт
der Export, -e	экспорт
der Notruf	экстренный вызов
elegant	элегантный
elektrisch	электрический
das E-Bike, -s	электровелосипед
das E-Book, -s	электронная книга
elektronisch	электронный
die (D, A)/das (A, CH) (E-)Mail, -s	электронный адрес
die Mailbox, -en	электронный почтовый ящик
das Kraftwerk, -e	электростанция
die Energie, -n	энергия
das Lexikon, -Lexika	энциклопедия
die Studie, -n	эскиз
die Etage, -n (D, CH) → Stock	этаж
der Stock → D, CH: Etage	этаж
das Stockwerk, -e	этаж
es	это
das heißt	это значит
dies- diesmal	это на этот раз
der Rock, ¨-e	юбка пиджак
der Süden, Süd-/südlich	юг
der Humor	юмор
der Apfel, ¨-	яблоко
das Gift, -e	яд
giftig	ядовитый
die Sprache, -n	язык
die Zweitsprache, -n	язык
das Ei, -er	яйцо
der Januar, -(s), -e	январь
wütend	яростный
die Krippe/der Kindergarten/die Kindertagesstätte (Kita)	ясли
deutlich	ясный
eindeutig	ясный
klar	ясный
der Kasten, ¨- (D) → Kiste (A, D) der Kasten, ¨- (A, CH) → D, CH: Schrank	ящик
die Kiste, -n (A, D) → D: Kasten	ящик
